date,spread,name,seniority,horizon
2014-04-24,0.000724,UBS,Unsubordinated,6  months
2014-04-25,0.000755,UBS,Unsubordinated,6  months
2014-04-28,0.000749,UBS,Unsubordinated,6  months
2014-04-29,0.000734,UBS,Unsubordinated,6  months
2014-04-30,0.000721,UBS,Unsubordinated,6  months
2014-05-01,0.0006929999999999999,UBS,Unsubordinated,6  months
2014-05-02,0.000686,UBS,Unsubordinated,6  months
2014-05-05,0.000686,UBS,Unsubordinated,6  months
2014-05-06,0.000685,UBS,Unsubordinated,6  months
2014-05-07,0.000665,UBS,Unsubordinated,6  months
2014-05-08,0.000525,UBS,Unsubordinated,6  months
2014-05-09,0.0006450000000000001,UBS,Unsubordinated,6  months
2014-05-12,0.0005059999999999999,UBS,Unsubordinated,6  months
2014-05-13,0.000466,UBS,Unsubordinated,6  months
2014-05-14,0.00046699999999999997,UBS,Unsubordinated,6  months
2014-05-15,0.000567,UBS,Unsubordinated,6  months
2014-05-16,0.000567,UBS,Unsubordinated,6  months
2014-05-19,0.000567,UBS,Unsubordinated,6  months
2014-05-20,0.0010960000000000002,UBS,Unsubordinated,6  months
2014-05-21,0.0010960000000000002,UBS,Unsubordinated,6  months
2014-05-22,0.0010949999999999998,UBS,Unsubordinated,6  months
2014-05-23,0.0010949999999999998,UBS,Unsubordinated,6  months
2014-05-26,0.0010949999999999998,UBS,Unsubordinated,6  months
2014-05-27,0.001006,UBS,Unsubordinated,6  months
2014-05-28,0.001007,UBS,Unsubordinated,6  months
2014-05-29,0.001006,UBS,Unsubordinated,6  months
2014-05-30,0.001006,UBS,Unsubordinated,6  months
2014-06-02,0.001006,UBS,Unsubordinated,6  months
2014-06-03,0.001006,UBS,Unsubordinated,6  months
2014-06-04,0.001006,UBS,Unsubordinated,6  months
2014-06-05,0.000916,UBS,Unsubordinated,6  months
2014-06-06,0.000737,UBS,Unsubordinated,6  months
2014-06-09,0.000646,UBS,Unsubordinated,6  months
2014-06-10,0.000646,UBS,Unsubordinated,6  months
2014-06-11,0.0006450000000000001,UBS,Unsubordinated,6  months
2014-06-12,0.000676,UBS,Unsubordinated,6  months
2014-06-13,0.000677,UBS,Unsubordinated,6  months
2014-06-16,0.000737,UBS,Unsubordinated,6  months
2014-06-17,0.000791,UBS,Unsubordinated,6  months
2014-06-18,0.000801,UBS,Unsubordinated,6  months
2014-06-19,0.00075,UBS,Unsubordinated,6  months
2014-06-20,0.000925,UBS,Unsubordinated,6  months
2014-06-23,0.000925,UBS,Unsubordinated,6  months
2014-06-24,0.000925,UBS,Unsubordinated,6  months
2014-06-25,0.000998,UBS,Unsubordinated,6  months
2014-06-26,0.0010539999999999998,UBS,Unsubordinated,6  months
2014-06-27,0.0010789999999999999,UBS,Unsubordinated,6  months
2014-06-30,0.0011070000000000001,UBS,Unsubordinated,6  months
2014-07-01,0.001056,UBS,Unsubordinated,6  months
2014-07-02,0.001025,UBS,Unsubordinated,6  months
2014-07-03,0.001,UBS,Unsubordinated,6  months
2014-07-04,0.000985,UBS,Unsubordinated,6  months
2014-07-07,0.000998,UBS,Unsubordinated,6  months
2014-07-08,0.001023,UBS,Unsubordinated,6  months
2014-07-09,0.001038,UBS,Unsubordinated,6  months
2014-07-10,0.001078,UBS,Unsubordinated,6  months
2014-07-11,0.001078,UBS,Unsubordinated,6  months
2014-07-14,0.001066,UBS,Unsubordinated,6  months
2014-07-15,0.001091,UBS,Unsubordinated,6  months
2014-07-16,0.001065,UBS,Unsubordinated,6  months
2014-07-17,0.001091,UBS,Unsubordinated,6  months
2014-07-18,0.001078,UBS,Unsubordinated,6  months
2014-07-21,0.001077,UBS,Unsubordinated,6  months
2014-07-22,0.001034,UBS,Unsubordinated,6  months
2014-07-23,0.001021,UBS,Unsubordinated,6  months
2014-07-24,0.001049,UBS,Unsubordinated,6  months
2014-07-25,0.0010609999999999999,UBS,Unsubordinated,6  months
2014-07-28,0.001062,UBS,Unsubordinated,6  months
2014-07-29,0.001062,UBS,Unsubordinated,6  months
2014-07-30,0.0008869999999999999,UBS,Unsubordinated,6  months
2014-07-31,0.001175,UBS,Unsubordinated,6  months
2014-08-01,0.0012029999999999999,UBS,Unsubordinated,6  months
2014-08-04,0.001188,UBS,Unsubordinated,6  months
2014-08-05,0.001104,UBS,Unsubordinated,6  months
2014-08-06,0.0011300000000000001,UBS,Unsubordinated,6  months
2014-08-07,0.001258,UBS,Unsubordinated,6  months
2014-08-08,0.001158,UBS,Unsubordinated,6  months
2014-08-11,0.00116,UBS,Unsubordinated,6  months
2014-08-12,0.001173,UBS,Unsubordinated,6  months
2014-08-13,0.001132,UBS,Unsubordinated,6  months
2014-08-14,0.0010789999999999999,UBS,Unsubordinated,6  months
2014-08-15,0.001077,UBS,Unsubordinated,6  months
2014-08-18,0.001049,UBS,Unsubordinated,6  months
2014-08-19,0.001036,UBS,Unsubordinated,6  months
2014-08-20,0.001021,UBS,Unsubordinated,6  months
2014-08-21,0.000993,UBS,Unsubordinated,6  months
2014-08-22,0.001008,UBS,Unsubordinated,6  months
2014-08-25,0.001008,UBS,Unsubordinated,6  months
2014-08-26,0.0009400000000000001,UBS,Unsubordinated,6  months
2014-08-27,0.0009400000000000001,UBS,Unsubordinated,6  months
2014-08-28,0.000968,UBS,Unsubordinated,6  months
2014-08-29,0.000968,UBS,Unsubordinated,6  months
2014-09-01,0.000938,UBS,Unsubordinated,6  months
2014-09-02,0.0008960000000000001,UBS,Unsubordinated,6  months
2014-09-03,0.000895,UBS,Unsubordinated,6  months
2014-09-04,0.000883,UBS,Unsubordinated,6  months
2014-09-05,0.000869,UBS,Unsubordinated,6  months
2014-09-08,0.000898,UBS,Unsubordinated,6  months
2014-09-09,0.00091,UBS,Unsubordinated,6  months
2014-09-10,0.00091,UBS,Unsubordinated,6  months
2014-09-11,0.0008960000000000001,UBS,Unsubordinated,6  months
2014-09-12,0.0010539999999999998,UBS,Unsubordinated,6  months
2014-09-15,0.000908,UBS,Unsubordinated,6  months
2014-09-16,0.000923,UBS,Unsubordinated,6  months
2014-09-17,0.000895,UBS,Unsubordinated,6  months
2014-09-18,0.000895,UBS,Unsubordinated,6  months
2014-09-19,0.00088,UBS,Unsubordinated,6  months
2014-09-22,0.00101,UBS,Unsubordinated,6  months
2014-09-23,0.0010550000000000002,UBS,Unsubordinated,6  months
2014-09-24,0.0010539999999999998,UBS,Unsubordinated,6  months
2014-09-25,0.0010689999999999999,UBS,Unsubordinated,6  months
2014-09-26,0.0010140000000000001,UBS,Unsubordinated,6  months
2014-09-29,0.001104,UBS,Unsubordinated,6  months
2014-09-30,0.0010890000000000001,UBS,Unsubordinated,6  months
2014-10-01,0.001074,UBS,Unsubordinated,6  months
