Date,Adobe,Apple,Microsoft
2014-04-22,64.48,75.957,39.99
2014-04-23,64.39,74.9643,39.69
2014-04-24,63.22,81.1099,39.86
2014-04-25,61.61,81.7057,39.91
2014-04-28,60.4,84.8699,40.87
2014-04-29,60.91,84.6185,40.51
2014-04-30,61.69,84.2985,40.4
2014-05-01,62.59,84.4971,40.0
2014-05-02,61.56,84.6542,39.69
2014-05-05,61.44,85.8513,39.43
2014-05-06,59.44,84.9156,39.06
2014-05-07,58.63,84.6185,39.425
2014-05-08,59.08,83.9985,39.64
2014-05-09,59.59,83.6489,39.54
2014-05-12,60.7,84.6899,39.97
2014-05-13,60.81,84.8228,40.42
2014-05-14,60.88,84.8385,40.24
2014-05-15,60.2,84.1171,39.6
2014-05-16,61.64,85.3585,39.83
2014-05-19,62.2,86.3699,39.75
2014-05-20,61.71,86.3871,39.68
2014-05-21,62.47,86.6156,40.35
2014-05-22,63.15,86.7528,40.1
2014-05-23,64.3,87.7328,40.12
2014-05-26,64.3,87.7328,40.12
2014-05-27,65.25,89.3757,40.19
2014-05-28,64.84,89.1442,40.01
2014-05-29,65.45,90.7685,40.34
2014-05-30,64.54,90.4286,40.94
2014-06-02,64.64,89.8071,40.79
2014-06-03,64.09,91.077,40.29
2014-06-04,64.17,92.1171,40.32
2014-06-05,65.47,92.4785,41.21
2014-06-06,66.91,92.2242,41.48
2014-06-09,66.93,93.7,41.27
2014-06-10,66.96,94.25,41.11
2014-06-11,67.46,93.86,40.86
2014-06-12,66.56,92.29,40.58
2014-06-13,66.82,91.28,41.23
2014-06-16,67.62,92.2,41.5
2014-06-17,67.54,92.08,41.68
2014-06-18,73.08,92.18,41.65
2014-06-19,72.95,91.86,41.51
2014-06-20,72.61,90.91,41.68
2014-06-23,72.89,90.83,41.99
2014-06-24,72.38,90.28,41.745
2014-06-25,72.44,90.36,42.03
2014-06-26,72.85,90.9,41.72
2014-06-27,72.0,91.98,42.25
2014-06-30,72.36,92.93,41.7
2014-07-01,73.01,93.52,41.87
2014-07-02,72.76,93.48,41.9
2014-07-03,73.57,94.03,41.8
2014-07-04,73.57,94.03,41.8
2014-07-07,72.68,95.968,41.99
2014-07-08,71.14,95.35,41.78
2014-07-09,71.57,95.39,41.67
2014-07-10,71.7,95.035,41.685
2014-07-11,72.26,95.22,42.09
2014-07-14,72.88,96.45,42.14
2014-07-15,72.29,95.32,42.45
2014-07-16,72.38,94.78,44.08
2014-07-17,71.39,93.0899,44.53
2014-07-18,72.55,94.43,44.69
2014-07-21,71.96,93.939,44.835
2014-07-22,72.26,94.72,44.83
2014-07-23,72.04,97.19,44.87
2014-07-24,72.795,97.03,44.4
2014-07-25,72.62,97.671,44.5
2014-07-28,72.7,99.02,43.97
2014-07-29,72.27,98.38,43.885
2014-07-30,71.89,98.15,43.5785
2014-07-31,69.2499,95.6,43.16
2014-08-01,68.94,96.13,42.86
2014-08-04,68.77,95.59,43.37
2014-08-05,68.97,95.12,43.08
2014-08-06,68.23,94.96,42.74
2014-08-07,67.83,94.48,43.23
2014-08-08,68.39,94.74,43.2
2014-08-11,68.97,95.99,43.2
2014-08-12,68.785,95.97,43.52
2014-08-13,69.79,97.24,44.08
2014-08-14,70.05,97.5,44.27
2014-08-15,70.07,97.98,44.79
2014-08-18,71.06,99.16,45.11
2014-08-19,72.05,100.53,45.33
2014-08-20,71.02,100.57,44.95
2014-08-21,71.73,100.58,45.22
2014-08-22,72.04,101.32,45.15
2014-08-25,71.82,101.54,45.17
2014-08-26,71.53,100.889,45.005
2014-08-27,71.55,102.13,44.87
2014-08-28,71.37,102.25,44.88
2014-08-29,71.9,102.5,45.43
2014-09-01,71.9,102.5,45.43
2014-09-02,72.1,103.3,45.09
2014-09-03,72.43,98.94,44.96
2014-09-04,72.455,98.12,45.26
2014-09-05,73.13,98.97,45.91
2014-09-08,73.39,98.36,46.47
2014-09-09,72.42,97.99,46.76
2014-09-10,72.33,101.0,46.84
2014-09-11,72.42,101.43,47.0
2014-09-12,70.98,101.66,46.695
2014-09-15,70.27,101.63,46.24
2014-09-16,70.73,100.86,46.76
2014-09-17,67.3,101.58,46.52
2014-09-18,67.91,101.79,46.68
2014-09-19,66.94,100.96,47.52
2014-09-22,67.2,101.06,47.06
2014-09-23,67.79,102.64,46.56
2014-09-24,69.03,101.75,47.08
2014-09-25,67.71,97.87,46.04
2014-09-26,68.355,100.75,46.41
2014-09-29,69.22,100.11,46.44
2014-09-30,69.19,100.75,46.36
2014-10-01,67.54,99.18,45.9
2014-10-02,67.06,99.9,45.76
2014-10-03,68.4,99.62,46.09
2014-10-06,67.67,99.62,46.09
2014-10-07,65.96,98.75,45.53
2014-10-08,67.99,100.8,46.78
2014-10-09,65.66,101.02,45.85
2014-10-10,63.29,100.73,44.03
2014-10-13,61.68,99.81,43.65
2014-10-14,60.88,98.75,43.73
2014-10-15,62.19,97.54,43.22
2014-10-16,62.86,96.26,42.74
2014-10-17,64.52,97.67,43.63
2014-10-20,64.68,99.76,44.08
2014-10-21,66.425,102.47,44.88
2014-10-22,65.04,102.99,44.38
2014-10-23,65.92,104.83,45.02
2014-10-24,67.01,105.22,46.13
2014-10-27,67.03,105.11,45.91
2014-10-28,68.37,106.74,46.49
2014-10-29,67.93,107.34,46.62
2014-10-30,68.57,106.98,46.05
2014-10-31,70.12,108.0,46.95
2014-11-03,69.91,109.4,47.44
2014-11-04,71.07,108.6,47.57
2014-11-05,71.37,108.86,47.86
2014-11-06,72.1,108.7,48.7
2014-11-07,71.6,109.01,48.68
2014-11-10,71.7,108.83,48.89
2014-11-11,71.7,109.7,48.87
2014-11-12,71.41,111.25,48.78
2014-11-13,71.72,112.82,49.61
2014-11-14,71.42,114.18,49.58
2014-11-17,69.97,113.99,49.46
2014-11-18,70.83,115.47,48.74
2014-11-19,70.82,114.67,48.22
2014-11-20,70.44,116.31,48.7
2014-11-21,71.32,116.47,47.98
2014-11-24,71.225,118.625,47.59
2014-11-25,72.0,117.6,47.47
2014-11-26,72.98,119.0,47.75
2014-11-27,72.98,119.0,47.75
2014-11-28,73.68,118.93,47.81
2014-12-01,73.75,115.07,48.62
2014-12-02,73.47,114.63,48.46
2014-12-03,73.18,115.93,48.08
2014-12-04,73.03,115.49,48.84
2014-12-05,72.4,115.0,48.42
2014-12-08,72.05,112.4,47.695
2014-12-09,71.565,114.12,47.59
2014-12-10,69.85,111.95,46.9
2014-12-11,69.74,111.62,47.17
2014-12-12,76.02,109.73,46.95
2014-12-15,73.04,108.225,46.67
2014-12-16,72.32,106.745,45.16
2014-12-17,73.995,109.41,45.74
2014-12-18,74.89,112.65,47.52
2014-12-19,74.45,111.78,47.66
2014-12-22,74.5,112.94,47.98
2014-12-23,74.38,112.54,48.45
2014-12-24,74.74,112.01,48.14
2014-12-25,74.74,112.01,48.14
2014-12-26,74.67,113.99,47.88
2014-12-29,74.13,113.91,47.45
2014-12-30,73.085,112.52,47.02
2014-12-31,72.7,110.38,46.45
2015-01-01,72.7,110.38,46.45
2015-01-02,72.34,109.33,46.76
2015-01-05,71.98,106.25,46.325
2015-01-06,70.53,106.26,45.65
2015-01-07,71.11,107.75,46.23
2015-01-08,72.915,111.89,47.59
2015-01-09,71.84,112.01,47.19
2015-01-12,71.12,109.25,46.6
2015-01-13,70.59,110.22,46.355
2015-01-14,69.99,109.8,45.955
2015-01-15,70.29,106.82,45.48
2015-01-16,71.73,105.99,46.24
2015-01-19,71.73,105.99,46.24
2015-01-20,71.49,108.72,46.39
2015-01-21,71.54,109.55,45.92
2015-01-22,73.48,112.4,47.13
2015-01-23,74.06,112.98,47.18
2015-01-26,72.74,113.1,47.01
2015-01-27,71.46,109.14,42.66
2015-01-28,70.25,115.31,41.19
2015-01-29,71.64,118.9,42.01
2015-01-30,70.13,117.16,40.4
2015-02-02,71.11,118.63,41.28
2015-02-03,71.92,118.65,41.6
2015-02-04,72.28,119.56,41.84
2015-02-05,73.1,119.94,42.45
2015-02-06,72.54,118.93,42.41
2015-02-09,72.33,119.72,42.36
2015-02-10,72.76,122.02,42.6
2015-02-11,73.01,124.88,42.38
2015-02-12,74.59,126.46,43.09
2015-02-13,76.51,127.08,43.87
2015-02-16,76.51,127.08,43.87
2015-02-17,77.13,127.83,43.58
2015-02-18,77.73,128.715,43.53
2015-02-19,77.73,128.45,43.5
2015-02-20,78.55,129.495,43.855
2015-02-23,78.1,133.0,44.15
2015-02-24,77.68,132.17,44.09
2015-02-25,78.07,128.79,43.99
2015-02-26,78.96,130.415,44.055
2015-02-27,79.1,128.46,43.85
2015-03-02,79.79,129.09,43.88
2015-03-03,78.99,129.36,43.28
2015-03-04,77.63,128.54,43.055
2015-03-05,78.62,126.41,43.11
2015-03-06,77.55,126.6,42.36
2015-03-09,77.93,127.14,42.85
2015-03-10,76.005,124.51,42.03
2015-03-11,76.01,122.24,41.98
2015-03-12,77.4,124.45,41.02
2015-03-13,77.62,123.59,41.38
2015-03-16,78.33,124.95,41.56
2015-03-17,79.66,127.04,41.695
2015-03-18,76.89,128.47,42.5
2015-03-19,77.14,127.495,42.285
2015-03-20,77.36,125.9,42.88
2015-03-23,76.35,127.21,42.855
2015-03-24,75.45,126.69,42.9
2015-03-25,73.13,123.38,41.46
2015-03-26,72.97,124.24,41.21
2015-03-27,73.31,123.25,40.97
2015-03-30,73.6,126.37,40.96
2015-03-31,73.94,124.43,40.655
2015-04-01,75.07,124.25,40.72
2015-04-02,75.68,125.32,40.29
2015-04-03,75.68,125.32,40.29
2015-04-06,76.23,127.35,41.545
2015-04-07,75.65,126.01,41.53
2015-04-08,75.44,125.6,41.42
2015-04-09,76.33,126.56,41.48
2015-04-10,76.53,127.1,41.72
2015-04-13,76.02,126.85,41.76
2015-04-14,75.95,126.3,41.65
2015-04-15,76.03,126.78,42.255
2015-04-16,75.15,126.17,42.16
2015-04-17,73.15,124.75,41.615
2015-04-20,73.92,127.6,42.905
2015-04-21,74.62,126.91,42.635
2015-04-22,75.5,128.62,42.985
2015-04-23,76.52,129.67,43.34
2015-04-24,76.54,130.28,47.87
2015-04-27,76.55,132.65,48.03
2015-04-28,76.02,130.56,49.155
2015-04-29,76.65,128.64,49.06
2015-04-30,76.06,125.15,48.64
2015-05-01,76.43,128.95,48.655
2015-05-04,75.85,128.7,48.24
2015-05-05,75.0,125.8,47.6
2015-05-06,74.48,125.01,46.28
2015-05-07,74.73,125.26,46.7
2015-05-08,76.31,127.62,47.75
2015-05-11,76.785,126.32,47.37
2015-05-12,76.57,125.865,47.35
2015-05-13,77.08,126.01,47.625
2015-05-14,79.43,128.95,48.72
2015-05-15,78.92,128.77,48.295
2015-05-18,79.41,130.19,48.01
2015-05-19,79.62,130.07,47.58
2015-05-20,79.61,130.06,47.58
2015-05-21,80.56,131.39,47.42
2015-05-22,80.04,132.54,46.9
2015-05-25,80.04,132.54,46.9
2015-05-26,79.365,129.62,46.59
2015-05-27,80.16,132.045,47.61
2015-05-28,80.015,131.78,47.45
2015-05-29,79.09,130.28,46.86
2015-06-01,79.87,130.535,47.23
2015-06-02,79.82,129.96,46.92
2015-06-03,80.13,130.12,46.85
2015-06-04,78.75,129.36,46.36
2015-06-05,78.86,128.65,46.14
2015-06-08,78.16,127.8,45.73
2015-06-09,77.9,127.42,45.65
2015-06-10,79.56,128.88,46.61
2015-06-11,79.65,128.59,46.44
2015-06-12,79.86,127.17,45.97
2015-06-15,78.9,126.92,45.475
2015-06-16,79.94,127.6,45.83
2015-06-17,77.91,127.3,45.97
2015-06-18,79.39,127.88,46.72
2015-06-19,79.7,126.6,46.1
2015-06-22,82.28,127.61,46.23
2015-06-23,83.55,127.03,45.91
2015-06-24,83.4,128.11,45.635
2015-06-25,83.94,127.5,45.65
2015-06-26,82.74,126.75,45.26
2015-06-29,81.28,124.53,44.37
2015-06-30,81.01,125.425,44.15
2015-07-01,80.945,126.6,44.445
2015-07-02,80.75,126.44,44.4
2015-07-03,80.75,126.44,44.4
2015-07-06,80.5,126.0,44.39
2015-07-07,80.59,125.69,44.3
2015-07-08,79.99,122.57,44.24
2015-07-09,80.47,120.07,44.52
2015-07-10,80.59,123.28,44.61
2015-07-13,81.44,125.66,45.54
2015-07-14,81.89,125.61,45.62
2015-07-15,82.12,126.82,45.76
2015-07-16,82.52,128.51,46.66
2015-07-17,82.1,129.62,46.62
2015-07-20,82.09,132.07,46.92
2015-07-21,81.19,130.75,47.28
2015-07-22,80.73,125.22,45.54
2015-07-23,80.64,125.16,46.11
2015-07-24,80.98,124.5,45.94
2015-07-27,79.93,122.77,45.35
2015-07-28,80.59,123.38,45.34
2015-07-29,80.25,122.99,46.29
2015-07-30,81.29,122.37,46.88
2015-07-31,81.99,121.3,46.7
2015-08-03,81.4,118.44,46.81
2015-08-04,82.06,114.64,47.54
2015-08-05,83.38,115.4,47.58
2015-08-06,82.19,115.13,46.62
2015-08-07,82.69,115.52,46.74
2015-08-10,83.62,119.72,47.33
2015-08-11,83.9,113.49,46.41
2015-08-12,83.82,115.24,46.74
2015-08-13,84.31,115.15,46.73
2015-08-14,86.12,115.96,47.0
2015-08-17,86.77,117.16,47.32
2015-08-18,86.45,116.5,47.27
2015-08-19,85.48,115.01,46.61
2015-08-20,82.69,112.65,45.66
2015-08-21,78.87,105.76,43.07
2015-08-24,74.27,103.12,41.68
2015-08-25,74.57,103.74,40.47
2015-08-26,77.33,109.69,42.71
2015-08-27,78.91,112.92,43.9
2015-08-28,79.4,113.29,43.93
2015-08-31,78.57,112.76,43.52
2015-09-01,75.99,107.72,41.82
2015-09-02,77.25,112.34,43.36
2015-09-03,78.32,110.37,43.5
2015-09-04,76.89,109.27,42.61
2015-09-07,76.89,109.27,42.61
2015-09-08,79.78,112.31,43.89
2015-09-09,78.52,110.15,43.07
2015-09-10,78.7,112.57,43.29
2015-09-11,79.19,114.21,43.48
2015-09-14,78.46,115.31,43.04
2015-09-15,79.53,116.28,43.98
2015-09-16,80.53,116.41,44.3
2015-09-17,80.31,113.92,44.25
2015-09-18,81.25,113.45,43.48
2015-09-21,83.32,115.21,44.11
2015-09-22,84.66,113.4,43.9
2015-09-23,85.5,114.32,43.87
2015-09-24,83.91,115.0,43.91
2015-09-25,83.13,114.71,43.94
2015-09-28,80.52,112.44,43.29
2015-09-29,79.83,109.06,43.44
2015-09-30,82.22,110.3,44.26
2015-10-01,83.75,109.58,44.61
2015-10-02,83.99,110.38,45.57
2015-10-05,85.84,110.78,46.63
2015-10-06,85.15,111.31,46.75
2015-10-07,80.65,110.78,46.8
2015-10-08,82.26,109.5,47.45
2015-10-09,83.82,112.12,47.11
2015-10-12,83.92,111.6,47.0
2015-10-13,83.65,111.79,46.89
2015-10-14,83.8,110.21,46.68
2015-10-15,86.77,111.86,47.01
2015-10-16,88.67,111.04,47.51
2015-10-19,88.4,111.73,47.62
2015-10-20,86.84,113.77,47.77
2015-10-21,86.13,113.76,47.2
2015-10-22,88.46,115.5,48.03
2015-10-23,87.86,119.08,52.87
2015-10-26,88.84,115.28,54.25
2015-10-27,88.05,114.55,53.69
2015-10-28,88.5,119.27,53.98
2015-10-29,88.12,120.53,53.36
2015-10-30,88.66,119.5,52.64
2015-11-02,89.91,121.18,53.24
2015-11-03,90.36,122.57,54.15
2015-11-04,91.01,122.0,54.4
2015-11-05,90.55,120.92,54.38
2015-11-06,90.69,121.06,54.92
2015-11-09,89.8,120.57,54.16
2015-11-10,90.28,116.77,53.51
2015-11-11,91.21,116.11,53.65
2015-11-12,90.84,115.72,53.32
2015-11-13,89.02,112.34,52.84
2015-11-16,89.765,114.175,53.765
2015-11-17,90.29,113.69,52.97
2015-11-18,91.27,117.29,53.85
